row_id,timestamp,alarm_id,confidence,classification,is_anomaly,model_type,processing_time,source
0,2025-07-23 10:54:28,ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,
1,2025-07-23 10:54:29,ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,
2,2025-07-23 10:54:29,ffff3d7a-eb50-43c0-9658-4ebd93d404cd,0.2,benign,False,supervised_v1,0.004229,
3,2025-07-23 10:54:29,fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.004645,
4,2025-07-23 10:54:29,fffec939-e76f-489c-89fc-ca440f4e4065,0.2,benign,False,supervised_v1,0.004154,
5,2025-07-23 10:54:29,fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004493,
6,2025-07-23 10:54:29,ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.004765,
7,2025-07-23 10:54:29,fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.003303,
8,2025-07-23 10:54:29,fffe6903-7ba6-4d6c-99d9-2748065d359c,0.2,benign,False,supervised_v1,0.004368,
9,2025-07-23 10:54:29,fffe4c18-aa5d-49c4-b20b-0ec5c1a2eab4,0.2,benign,False,supervised_v1,0.004745,
10,2025-07-23 10:55:00,ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.003954,
11,2025-07-23 10:55:00,fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004063,
12,2025-07-23 10:55:01,ffff907d-679a-4ff0-84c4-93342727b2a2,0.2,benign,False,supervised_v1,0.004072,
13,2025-07-23 10:55:01,fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004201,
14,2025-07-23 10:55:01,ffff3d7a-eb50-43c0-9658-4ebd93d404cd,0.2,benign,False,supervised_v1,0.004229,
15,2025-07-23 10:55:01,ffff73fb-bbd6-4259-806a-eaf64deb471e,0.2,benign,False,supervised_v1,0.005538,
16,2025-07-23 10:55:01,fffe4c18-aa5d-49c4-b20b-0ec5c1a2eab4,0.2,benign,False,supervised_v1,0.004745,
17,2025-07-23 10:55:01,ffff0689-6a03-4847-9fbc-8ff4f79f19df,0.2,benign,False,supervised_v1,0.003636,
18,2025-07-23 10:55:01,fffdbb36-a8fa-4b6d-b13f-310ab40ae70f,0.2,benign,False,supervised_v1,0.004493,
19,2025-07-23 10:55:01,fffe5e88-2eb2-496d-b8c1-5b6384c671fc,0.2,benign,False,supervised_v1,0.004375,
20,2025-07-23 10:55:01,fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.003303,
21,2025-07-23 10:55:01,fffdd837-cb97-4d2c-98d7-30ec18af5342,0.2,benign,False,supervised_v1,0.004322,
22,2025-07-23 10:55:01,ffff42ac-9696-4add-8d6b-18dabe4f13cd,0.2,benign,False,supervised_v1,0.004765,
23,2025-07-23 10:55:01,fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.005129,
24,2025-07-23 10:55:01,fffee702-8fca-467c-b951-eb5481629f0f,0.2,benign,False,supervised_v1,0.004645,
25,2025-07-23 10:55:01,ffff0689-6a03-4847-9fbc-8ff4f79f19df,0.2,benign,False,supervised_v1,0.00397,
